state,seed,ubvec_pop,ubvec_minority,num_mm,target_mm,max_minority_pct,edge_cut,success,runtime,error
LA,45,1.005,3.0,1,2,51.762518423145764,191,False,3.866457462310791,
LA,46,1.005,3.0,1,2,51.762518423145764,191,False,3.57194185256958,
LA,47,1.005,3.0,1,2,51.762518423145764,191,False,4.176603317260742,
LA,48,1.005,3.0,1,2,51.762518423145764,191,False,3.906137228012085,
LA,49,1.005,3.0,1,2,51.762518423145764,191,False,3.672656297683716,
LA,50,1.005,3.0,1,2,51.762518423145764,191,False,3.747636079788208,
LA,51,1.005,3.0,1,2,51.762518423145764,191,False,3.6289100646972656,
LA,52,1.005,3.0,1,2,51.762518423145764,191,False,3.8940443992614746,
LA,53,1.005,3.0,1,2,51.762518423145764,191,False,3.7785706520080566,
LA,54,1.005,3.0,1,2,51.762518423145764,191,False,3.82466721534729,
LA,55,1.005,3.0,1,2,51.762518423145764,191,False,3.8209140300750732,
LA,42,1.005,4.0,1,2,51.762518423145764,191,False,3.5519423484802246,
LA,43,1.005,4.0,1,2,51.762518423145764,191,False,3.7562413215637207,
LA,44,1.005,4.0,1,2,51.762518423145764,191,False,4.032307147979736,
LA,45,1.005,4.0,1,2,51.762518423145764,191,False,3.989501953125,
LA,46,1.005,4.0,1,2,51.762518423145764,191,False,3.8855321407318115,
LA,47,1.005,4.0,1,2,51.762518423145764,191,False,3.8893024921417236,
LA,48,1.005,4.0,1,2,51.762518423145764,191,False,4.048721790313721,
LA,49,1.005,4.0,1,2,51.762518423145764,191,False,3.8498570919036865,
LA,50,1.005,4.0,1,2,51.762518423145764,191,False,3.781745195388794,
LA,51,1.005,4.0,1,2,51.762518423145764,191,False,3.7714433670043945,
LA,52,1.005,4.0,1,2,51.762518423145764,191,False,3.6415956020355225,
LA,53,1.005,4.0,1,2,51.762518423145764,191,False,3.9963858127593994,
LA,54,1.005,4.0,1,2,51.762518423145764,191,False,3.647409677505493,
LA,55,1.005,4.0,1,2,51.762518423145764,191,False,3.861171007156372,
LA,42,1.005,5.0,1,2,51.762518423145764,191,False,3.685427188873291,
LA,43,1.005,5.0,1,2,51.762518423145764,191,False,3.7833924293518066,
LA,44,1.005,5.0,1,2,51.762518423145764,191,False,3.7602922916412354,
LA,45,1.005,5.0,1,2,51.762518423145764,191,False,3.564265251159668,
LA,46,1.005,5.0,1,2,51.762518423145764,191,False,3.5896522998809814,
LA,47,1.005,5.0,1,2,51.762518423145764,191,False,3.6380348205566406,
LA,48,1.005,5.0,1,2,51.762518423145764,191,False,3.6192808151245117,
LA,49,1.005,5.0,1,2,51.762518423145764,191,False,3.6014621257781982,
LA,50,1.005,5.0,1,2,51.762518423145764,191,False,3.5123684406280518,
LA,51,1.005,5.0,1,2,51.762518423145764,191,False,3.549700975418091,
LA,52,1.005,5.0,1,2,51.762518423145764,191,False,3.5283267498016357,
LA,53,1.005,5.0,1,2,51.762518423145764,191,False,3.4432790279388428,
LA,54,1.005,5.0,1,2,51.762518423145764,191,False,3.511023998260498,
LA,55,1.005,5.0,1,2,51.762518423145764,191,False,3.388183355331421,
LA,42,1.005,7.0,1,2,51.762518423145764,191,False,3.443181037902832,
LA,43,1.005,7.0,1,2,51.762518423145764,191,False,3.4694840908050537,
LA,44,1.005,7.0,1,2,51.762518423145764,191,False,3.4582767486572266,
LA,45,1.005,7.0,1,2,51.762518423145764,191,False,3.508357048034668,
LA,46,1.005,7.0,1,2,51.762518423145764,191,False,3.4582691192626953,
LA,47,1.005,7.0,1,2,51.762518423145764,191,False,3.36533784866333,
LA,48,1.005,7.0,1,2,51.762518423145764,191,False,3.6313188076019287,
LA,49,1.005,7.0,1,2,51.762518423145764,191,False,3.45788836479187,
LA,50,1.005,7.0,1,2,51.762518423145764,191,False,3.5256528854370117,
LA,51,1.005,7.0,1,2,51.762518423145764,191,False,3.4063913822174072,
LA,52,1.005,7.0,1,2,51.762518423145764,191,False,3.457589626312256,
LA,53,1.005,7.0,1,2,51.762518423145764,191,False,3.3803629875183105,
LA,54,1.005,7.0,1,2,51.762518423145764,191,False,3.3668594360351562,
LA,55,1.005,7.0,1,2,51.762518423145764,191,False,3.4074485301971436,
LA,42,1.005,10.0,1,2,51.762518423145764,191,False,3.3236026763916016,
LA,43,1.005,10.0,1,2,51.762518423145764,191,False,3.408083438873291,
LA,44,1.005,10.0,1,2,51.762518423145764,191,False,3.3987324237823486,
LA,45,1.005,10.0,1,2,51.762518423145764,191,False,3.317918062210083,
LA,46,1.005,10.0,1,2,51.762518423145764,191,False,3.384291172027588,
LA,47,1.005,10.0,1,2,51.762518423145764,191,False,3.479187250137329,
LA,48,1.005,10.0,1,2,51.762518423145764,191,False,3.3615286350250244,
LA,49,1.005,10.0,1,2,51.762518423145764,191,False,3.3965182304382324,
LA,50,1.005,10.0,1,2,51.762518423145764,191,False,3.3739213943481445,
LA,51,1.005,10.0,1,2,51.762518423145764,191,False,3.392796516418457,
LA,52,1.005,10.0,1,2,51.762518423145764,191,False,3.3582887649536133,
LA,53,1.005,10.0,1,2,51.762518423145764,191,False,3.3079419136047363,
LA,54,1.005,10.0,1,2,51.762518423145764,191,False,3.434436082839966,
LA,55,1.005,10.0,1,2,51.762518423145764,191,False,3.3367371559143066,
MS,42,1.005,1.1,2,2,54.039259368126835,104,True,4.0566253662109375,
MS,43,1.005,1.1,2,2,54.039259368126835,104,True,3.9446187019348145,
MS,44,1.005,1.1,2,2,54.039259368126835,104,True,3.9228265285491943,
MS,45,1.005,1.1,2,2,54.039259368126835,104,True,3.907953977584839,
MS,46,1.005,1.1,2,2,54.039259368126835,104,True,4.044703722000122,
