state,method,weight_factor,minority_threshold,district_id,minority_pct,is_mm,polsby_popper,reock,convex_hull_ratio,internal_edges,num_tracts,urbanization
SC,baseline,1.0,,4,0.3769240740361721,False,0.2567628062056354,0.6546631201496487,0.789329077914293,555,194,mixed
SC,baseline,1.0,,5,0.463214611797364,False,0.1987165084148481,0.6697597753566357,0.7790891500746842,610,214,mixed
SC,baseline,1.0,,6,0.4584787150263601,False,0.1256729613291398,0.4413133133462389,0.6213250962935929,605,200,mixed
AL,edge_weighted,5.0,0.45,0,0.306327989709952,False,0.3396381322638193,0.6586643570675628,0.8514414216825231,533,184,mixed
AL,edge_weighted,5.0,0.45,1,0.5062454344201505,True,0.0811934452572332,0.4176086072008377,0.5438971137383685,575,202,urban
AL,edge_weighted,5.0,0.45,2,0.2806941758125379,False,0.2799035545682297,0.5268972505095165,0.8554106836066386,581,206,rural
AL,edge_weighted,5.0,0.45,3,0.3832016788560353,False,0.2652592911338626,0.5795165359420403,0.7601384018040303,610,217,mixed
AL,edge_weighted,5.0,0.45,4,0.5355647079619904,True,0.1710518578447594,0.516195471287788,0.7621228661104138,659,230,mixed
AL,edge_weighted,5.0,0.45,5,0.3702718721454819,False,0.3063647715999102,0.6204623515457914,0.8177777584836895,617,203,mixed
AL,edge_weighted,5.0,0.45,6,0.1993562506612909,False,0.2490905455916537,0.6136121651063214,0.7934234793926705,547,195,mixed
GA,edge_weighted,5.0,0.55,0,0.4391207485907671,False,0.131395686754963,0.4409452122781263,0.6034322501195788,585,204,urban
GA,edge_weighted,5.0,0.55,1,0.5343391911709875,True,0.3437516671460776,0.6955810264508457,0.8363518181817792,500,169,urban
GA,edge_weighted,5.0,0.55,2,0.7793463574473085,True,0.1683346473814166,0.527332311658583,0.6468790555807526,555,193,mixed
GA,edge_weighted,5.0,0.55,3,0.5495550533044568,True,0.2782061592839432,0.5667494215692932,0.7923586634372274,509,175,rural
GA,edge_weighted,5.0,0.55,4,0.3780990225155604,False,0.2537048625948523,0.580437219689918,0.7825044386629159,498,176,mixed
GA,edge_weighted,5.0,0.55,5,0.7905301134604051,True,0.153202627186529,0.4398497929426054,0.5967672026678642,514,183,mixed
GA,edge_weighted,5.0,0.55,6,0.7523175183437469,True,0.2558360192498078,0.6363711427430419,0.7741424421019573,690,234,rural
GA,edge_weighted,5.0,0.55,7,0.3226542768706532,False,0.3453086408431474,0.6938936586525271,0.8381863088405803,513,175,urban
GA,edge_weighted,5.0,0.55,8,0.2061985787861008,False,0.272898462786192,0.6745640078300463,0.8158757701565487,500,187,mixed
GA,edge_weighted,5.0,0.55,9,0.3265632764076679,False,0.2309835291660655,0.5645825756505805,0.7601907097809384,606,217,mixed
GA,edge_weighted,5.0,0.55,10,0.466678773183108,False,0.220551550975893,0.604533637734561,0.7785935781323122,561,195,urban
GA,edge_weighted,5.0,0.55,11,0.4292637321052818,False,0.3004002536532079,0.5944094121497506,0.8148769735102643,672,228,urban
GA,edge_weighted,5.0,0.55,12,0.4956225179813893,False,0.338882367813836,0.7105547814946097,0.8232799662198219,699,240,mixed
GA,edge_weighted,5.0,0.55,13,0.5224734131059783,True,0.2026213900789912,0.6059022844736328,0.7515565599262447,645,220,mixed
LA,edge_weighted,5.0,0.5,0,0.4798960448892386,False,0.2362312914130336,0.6228842810500979,0.7354891423203063,551,182,mixed
LA,edge_weighted,5.0,0.5,1,0.5932723875462784,True,0.3050613577305571,0.5792389817510857,0.7316347182366949,909,301,urban
LA,edge_weighted,5.0,0.5,2,0.3701936858938513,False,0.0993869338194489,0.4559607867002473,0.5576391034461439,577,207,mixed
LA,edge_weighted,5.0,0.5,3,0.3886334987813957,False,0.1636822844898076,0.4232070904922997,0.6317428801709414,655,230,mixed
LA,edge_weighted,5.0,0.5,4,0.3815175583453343,False,0.1333912308965377,0.6009668297906153,0.7329576376408021,648,234,rural
LA,edge_weighted,5.0,0.5,5,0.4412792912628255,False,0.2050903141898951,0.4696651753229637,0.7512426260009786,656,234,mixed
MS,edge_weighted,5.0,0.5,0,0.3733391909702274,False,0.1990589391489418,0.5481074788779817,0.7178350191067124,586,214,urban
MS,edge_weighted,5.0,0.5,1,0.5448697621132772,True,0.1260371736712055,0.5635987430468977,0.714263773086731,560,208,mixed
MS,edge_weighted,5.0,0.5,2,0.516245648185771,True,0.2698034454262951,0.6296595170666129,0.844533611494515,615,218,mixed
MS,edge_weighted,5.0,0.5,3,0.3512507199312111,False,0.2991555360066168,0.7060192247953891,0.8942785665789826,717,238,rural
